Meeting,Race Number,Distance,Tab No,Horse,Horseid,Weight,Barrier,Jockey,Jockeyid,Trainer,Trackcondition,Class Change,Hist Run Style,Settling Pos,Neural,age restrictions,Race Cl,Limitweight,sex restrictions,Weighttype,Age,Rno,Sex,Margin,LSFinPos,LSSP,Pricebf,MarketRank,Starters
Broken Hill,6,1600.0,6,Sun Master,896925.0,52.0,4.0,Caitlin Tootell,17178,A W Prisk,Good,-1.5,no data,99.0,1.0,,Class 2,55.0,,Handicap,7.0,59.0,Gelding,4.8,3.0,4.0,,,7
Broken Hill,6,1600.0,7,Vegas Destiny,932215.0,52.0,3.0,Ms C Munro,16040,T L Day,Good,-10.6,bm,5.0,2.0,,Class 2,55.0,,Handicap,6.0,34.0,Gelding,7.7,10.0,201.0,,,7
Chinchilla,1,1030.0,1,All Hell,960800.0,59.5,9.0,S Apthorpe,4531,W P Baker,Soft,0.0,bm,9.0,2.0,3yo+,Maiden,0.0,,Set Weight,4.0,6.0,Gelding,3.3,2.0,4.2,,,10
Chinchilla,1,1030.0,2,Redvedev,963233.0,59.5,7.0,Luke Miller,14499,G Barbierato,Soft,0.0,op/mf,5.0,8.0,3yo+,Maiden,0.0,,Set Weight,4.0,25.0,Gelding,5.7,9.0,12.0,,,10
Chinchilla,1,1030.0,3,Three More Wishes,950085.0,59.5,6.0,Rhiannon Payne,15096,Ms E Barnes,Soft,0.0,op/mf,6.0,5.0,3yo+,Maiden,0.0,,Set Weight,5.0,13.0,Gelding,0.4,2.0,4.4,,,10
Chinchilla,1,1030.0,4,Torrential,977550.0,59.5,10.0,Alisha Donald,16787,J Livingstone,Soft,-0.1,op,2.0,7.0,3yo+,Maiden,0.0,,Set Weight,5.0,3.0,Gelding,0.3,2.0,13.0,,,10
Chinchilla,1,1030.0,5,I Survived,948143.0,57.5,3.0,Adam Sewell,15284,G E Postle,Soft,-0.1,mf,7.0,3.0,3yo+,Maiden,0.0,,Set Weight,6.0,11.0,Mare,5.7,3.0,17.0,,,10
Chinchilla,1,1030.0,6,Polygal,921767.0,54.5,5.0,Tamara Noble,17069,G R Schwenke,Soft,-0.1,op,4.0,1.0,3yo+,Maiden,0.0,,Set Weight,5.0,14.0,Mare,8.1,9.0,4.6,,,10
Chinchilla,1,1030.0,7,Reojoan,933437.0,56.0,2.0,Tyler Leslight,16966,Gregory Huth,Soft,0.0,op,3.0,10.0,3yo+,Maiden,0.0,,Set Weight,5.0,7.0,Mare,29.8,7.0,11.0,,,10
Chinchilla,1,1030.0,8,Saloon Girl,935884.0,54.5,1.0,Emily Promfrett,17261,Ms N Hemmings,Soft,4.8,mf,8.0,4.0,3yo+,Maiden,0.0,,Set Weight,6.0,9.0,Mare,8.6,6.0,26.0,,,10
Chinchilla,1,1030.0,9,Green Park,978336.0,56.0,4.0,Hannah Phillips,15412,R T Hay,Soft,-0.1,l,1.0,6.0,3yo+,Maiden,0.0,,Set Weight,3.0,3.0,Filly,5.6,6.0,3.4,,,10
Chinchilla,1,1030.0,10,Princess Bean,973395.0,56.0,8.0,Adam Spinks,15708,Stephanie Sixtus,Soft,-4.6,bm,10.0,9.0,3yo+,Maiden,0.0,,Set Weight,3.0,3.0,Filly,24.3,8.0,101.0,,,10
Chinchilla,2,1030.0,1,Viceman,829425.0,61.0,8.0,Hannah Phillips,15412,Steven Thomas,Soft,-10.4,op/mf,4.0,1.0,,Restricted 55,55.0,,Handicap,10.0,99.0,Gelding,1.5,4.0,4.6,,,8
